NC_000001.11	chr1
NT_187521.1	chr1_KI270764v1_alt
NT_187520.1	chr1_KI270765v1_alt
NT_187517.1	chr1_KI270766v1_alt
NT_187646.1	chr1_KI270892v1_alt
NW_009646194.1	chr1_KN196472v1_fix
NW_009646195.1	chr1_KN196473v1_fix
NW_009646196.1	chr1_KN196474v1_fix
NW_011332687.1	chr1_KN538360v1_fix
NW_011332688.1	chr1_KN538361v1_fix
NW_012132914.1	chr1_KQ031383v1_fix
NW_014040925.1	chr1_KQ458382v1_alt
NW_014040926.1	chr1_KQ458383v1_alt
NW_014040927.1	chr1_KQ458384v1_alt
NW_015495298.1	chr1_KQ983255v1_alt
NW_017852928.1	chr1_KV880763v1_alt
NW_018654706.1	chr1_KZ208904v1_alt
NW_018654707.1	chr1_KZ208905v1_alt
NW_018654708.1	chr1_KZ208906v1_fix
NW_019805487.1	chr1_KZ559100v1_fix
NC_000002.12	chr2
NC_000020.11	chr20
NW_003315966.2	chr20_GL383577v2_alt
NT_187623.1	chr20_KI270869v1_alt
NT_187624.1	chr20_KI270870v1_alt
NT_187625.1	chr20_KI270871v1_alt
NC_000021.9	chr21
NW_003315967.2	chr21_GL383578v2_alt
NW_003315968.2	chr21_GL383579v2_alt
NW_003315969.2	chr21_GL383580v2_alt
NW_003315970.2	chr21_GL383581v2_alt
NT_187626.1	chr21_KI270872v1_alt
NT_187627.1	chr21_KI270873v1_alt
NT_187628.1	chr21_KI270874v1_alt
NW_021160023.1	chr21_ML143377v1_fix
NC_000022.11	chr22
NW_003315971.2	chr22_GL383582v2_alt
NW_003315972.2	chr22_GL383583v2_alt
NW_004504305.1	chr22_KB663609v1_alt
NT_187386.1	chr22_KI270731v1_random
NT_187387.1	chr22_KI270732v1_random
NT_187388.1	chr22_KI270733v1_random
NT_187389.1	chr22_KI270734v1_random
NT_187390.1	chr22_KI270735v1_random
NT_187391.1	chr22_KI270736v1_random
NT_187392.1	chr22_KI270737v1_random
NT_187393.1	chr22_KI270738v1_random
NT_187394.1	chr22_KI270739v1_random
NT_187629.1	chr22_KI270875v1_alt
NT_187630.1	chr22_KI270876v1_alt
NT_187631.1	chr22_KI270877v1_alt
NT_187632.1	chr22_KI270878v1_alt
NT_187633.1	chr22_KI270879v1_alt
NT_187682.1	chr22_KI270928v1_alt
NW_009646207.1	chr22_KN196485v1_alt
NW_009646208.1	chr22_KN196486v1_alt
NW_014040930.1	chr22_KQ458387v1_alt
NW_014040931.1	chr22_KQ458388v1_alt
NW_015148968.1	chr22_KQ759761v1_alt
NW_015148969.1	chr22_KQ759762v1_fix
NW_021160024.1	chr22_ML143378v1_fix
NW_021160025.1	chr22_ML143379v1_fix
NW_021160026.1	chr22_ML143380v1_fix
NW_003315908.1	chr2_GL383521v1_alt
NW_003315909.1	chr2_GL383522v1_alt
NW_003571033.2	chr2_GL582966v2_alt
NT_187370.1	chr2_KI270715v1_random
NT_187371.1	chr2_KI270716v1_random
NT_187523.1	chr2_KI270767v1_alt
NT_187528.1	chr2_KI270768v1_alt
NT_187522.1	chr2_KI270769v1_alt
NT_187525.1	chr2_KI270770v1_alt
NT_187530.1	chr2_KI270771v1_alt
NT_187524.1	chr2_KI270772v1_alt
NT_187526.1	chr2_KI270773v1_alt
NT_187529.1	chr2_KI270774v1_alt
NT_187531.1	chr2_KI270775v1_alt
NT_187527.1	chr2_KI270776v1_alt
NT_187647.1	chr2_KI270893v1_alt
NT_187648.1	chr2_KI270894v1_alt
NW_011332689.1	chr2_KN538362v1_fix
NW_011332690.1	chr2_KN538363v1_fix
NW_012132915.1	chr2_KQ031384v1_fix
NW_015495299.1	chr2_KQ983256v1_alt
NW_018654709.1	chr2_KZ208907v1_alt
NW_018654710.1	chr2_KZ208908v1_alt
NW_021159987.1	chr2_ML143341v1_fix
NW_021159988.1	chr2_ML143342v1_fix
NC_000003.12	chr3
NT_167215.1	chr3_GL000221v1_random
NW_003315913.1	chr3_GL383526v1_alt
NW_003871060.2	chr3_JH636055v2_alt
NT_187533.1	chr3_KI270777v1_alt
NT_187536.1	chr3_KI270778v1_alt
NT_187532.1	chr3_KI270779v1_alt
NT_187537.1	chr3_KI270780v1_alt
NT_187538.1	chr3_KI270781v1_alt
NT_187534.1	chr3_KI270782v1_alt
NT_187535.1	chr3_KI270783v1_alt
NT_187539.1	chr3_KI270784v1_alt
NT_187649.1	chr3_KI270895v1_alt
NT_187678.1	chr3_KI270924v1_alt
NT_187688.1	chr3_KI270934v1_alt
NT_187689.1	chr3_KI270935v1_alt
NT_187690.1	chr3_KI270936v1_alt
NT_187691.1	chr3_KI270937v1_alt
NW_009646197.1	chr3_KN196475v1_fix
NW_009646198.1	chr3_KN196476v1_fix
NW_011332691.1	chr3_KN538364v1_fix
NW_012132916.1	chr3_KQ031385v1_fix
NW_012132917.1	chr3_KQ031386v1_fix
NW_017363813.1	chr3_KV766192v1_fix
NW_018654711.1	chr3_KZ208909v1_alt
NW_019805488.1	chr3_KZ559101v1_alt
NW_019805489.1	chr3_KZ559102v1_alt
NW_019805490.1	chr3_KZ559103v1_alt
NW_019805491.1	chr3_KZ559104v1_fix
NW_019805492.1	chr3_KZ559105v1_alt
NW_021159989.1	chr3_ML143343v1_alt
NC_000004.12	chr4
NT_113793.3	chr4_GL000008v2_random
NT_167250.2	chr4_GL000257v2_alt
NW_003315914.1	chr4_GL383527v1_alt
NW_003315915.1	chr4_GL383528v1_alt
NT_187542.1	chr4_KI270785v1_alt
NT_187543.1	chr4_KI270786v1_alt
NT_187541.1	chr4_KI270787v1_alt
NT_187544.1	chr4_KI270788v1_alt
NT_187545.1	chr4_KI270789v1_alt
NT_187540.1	chr4_KI270790v1_alt
NT_187650.1	chr4_KI270896v1_alt
NT_187679.1	chr4_KI270925v1_alt
NW_013171799.1	chr4_KQ090013v1_alt
NW_013171800.1	chr4_KQ090014v1_alt
NW_013171801.1	chr4_KQ090015v1_alt
NW_015495300.1	chr4_KQ983257v1_fix
NW_015495301.1	chr4_KQ983258v1_alt
NW_017363814.1	chr4_KV766193v1_alt
NW_021159990.1	chr4_ML143344v1_fix
NW_021159991.1	chr4_ML143345v1_fix
NW_021159992.1	chr4_ML143346v1_fix
NW_021159993.1	chr4_ML143347v1_fix
NW_021159994.1	chr4_ML143348v1_fix
NW_021159995.1	chr4_ML143349v1_fix
NC_000005.10	chr5
NT_113948.1	chr5_GL000208v1_random
NW_003315917.2	chr5_GL339449v2_alt
NW_003315918.1	chr5_GL383530v1_alt
NW_003315919.1	chr5_GL383531v1_alt
NW_003315920.1	chr5_GL383532v1_alt
NW_003571036.1	chr5_GL949742v1_alt
NT_187547.1	chr5_KI270791v1_alt
NT_187548.1	chr5_KI270792v1_alt
NT_187550.1	chr5_KI270793v1_alt
NT_187551.1	chr5_KI270794v1_alt
NT_187546.1	chr5_KI270795v1_alt
NT_187549.1	chr5_KI270796v1_alt
NT_187651.1	chr5_KI270897v1_alt
NT_187652.1	chr5_KI270898v1_alt
NW_009646199.1	chr5_KN196477v1_alt
NW_016107297.1	chr5_KV575243v1_alt
NW_016107298.1	chr5_KV575244v1_fix
NW_018654712.1	chr5_KZ208910v1_alt
NW_021159996.1	chr5_ML143350v1_fix
NC_000006.12	chr6
NT_167244.2	chr6_GL000250v2_alt
NT_113891.3	chr6_GL000251v2_alt
NT_167245.2	chr6_GL000252v2_alt
NT_167246.2	chr6_GL000253v2_alt
NT_167247.2	chr6_GL000254v2_alt
NT_167248.2	chr6_GL000255v2_alt
NT_167249.2	chr6_GL000256v2_alt
NW_003315921.1	chr6_GL383533v1_alt
NW_004166862.2	chr6_KB021644v2_alt
NT_187692.1	chr6_KI270758v1_alt
NT_187552.1	chr6_KI270797v1_alt
NT_187553.1	chr6_KI270798v1_alt
NT_187554.1	chr6_KI270799v1_alt
NT_187555.1	chr6_KI270800v1_alt
NT_187556.1	chr6_KI270801v1_alt
NT_187557.1	chr6_KI270802v1_alt
NW_009646200.1	chr6_KN196478v1_fix
NW_012132918.1	chr6_KQ031387v1_fix
NW_013171802.1	chr6_KQ090016v1_fix
NW_013171803.1	chr6_KQ090017v1_alt
NW_017363815.1	chr6_KV766194v1_fix
NW_018654713.1	chr6_KZ208911v1_fix
NW_021159997.1	chr6_ML143351v1_fix
NC_000007.14	chr7
NW_003315922.2	chr7_GL383534v2_alt
NT_187562.1	chr7_KI270803v1_alt
NT_187558.1	chr7_KI270804v1_alt
NT_187560.1	chr7_KI270805v1_alt
NT_187559.1	chr7_KI270806v1_alt
NT_187563.1	chr7_KI270807v1_alt
NT_187564.1	chr7_KI270808v1_alt
NT_187561.1	chr7_KI270809v1_alt
NT_187653.1	chr7_KI270899v1_alt
NW_012132919.1	chr7_KQ031388v1_fix
NW_017852929.1	chr7_KV880764v1_fix
NW_017852930.1	chr7_KV880765v1_fix
NW_018654714.1	chr7_KZ208912v1_fix
NW_018654715.1	chr7_KZ208913v1_alt
NW_019805493.1	chr7_KZ559106v1_alt
NW_021159998.1	chr7_ML143352v1_fix
NC_000008.11	chr8
NT_187567.1	chr8_KI270810v1_alt
NT_187565.1	chr8_KI270811v1_alt
NT_187568.1	chr8_KI270812v1_alt
NT_187570.1	chr8_KI270813v1_alt
NT_187566.1	chr8_KI270814v1_alt
NT_187569.1	chr8_KI270815v1_alt
NT_187571.1	chr8_KI270816v1_alt
NT_187573.1	chr8_KI270817v1_alt
NT_187572.1	chr8_KI270818v1_alt
NT_187574.1	chr8_KI270819v1_alt
NT_187575.1	chr8_KI270820v1_alt
NT_187576.1	chr8_KI270821v1_alt
NT_187577.1	chr8_KI270822v1_alt
NT_187654.1	chr8_KI270900v1_alt
NT_187655.1	chr8_KI270901v1_alt
NT_187680.1	chr8_KI270926v1_alt
NW_017852931.1	chr8_KV880766v1_fix
NW_017852932.1	chr8_KV880767v1_fix
NW_018654716.1	chr8_KZ208914v1_fix
NW_018654717.1	chr8_KZ208915v1_fix
NW_019805494.1	chr8_KZ559107v1_alt
NC_000009.12	chr9
NW_003315928.1	chr9_GL383539v1_alt
NW_003315929.1	chr9_GL383540v1_alt
NW_003315930.1	chr9_GL383541v1_alt
NW_003315931.1	chr9_GL383542v1_alt
NT_187372.1	chr9_KI270717v1_random
NT_187373.1	chr9_KI270718v1_random
NT_187374.1	chr9_KI270719v1_random
NT_187375.1	chr9_KI270720v1_random
NT_187578.1	chr9_KI270823v1_alt
NW_009646201.1	chr9_KN196479v1_fix
NW_013171804.1	chr9_KQ090018v1_alt
NW_013171805.1	chr9_KQ090019v1_alt
NW_021159999.1	chr9_ML143353v1_fix
NC_012920.1	chrM
NT_113901.1	chrUn_GL000195v1
NT_167208.1	chrUn_GL000213v1
NT_167209.1	chrUn_GL000214v1
NT_167211.2	chrUn_GL000216v2
NT_113889.1	chrUn_GL000218v1
NT_167213.1	chrUn_GL000219v1
NT_167214.1	chrUn_GL000220v1
NT_167218.1	chrUn_GL000224v1
NT_167220.1	chrUn_GL000226v1
NT_187396.1	chrUn_KI270302v1
NT_187398.1	chrUn_KI270303v1
NT_187397.1	chrUn_KI270304v1
NT_187399.1	chrUn_KI270305v1
NT_187402.1	chrUn_KI270310v1
NT_187406.1	chrUn_KI270311v1
NT_187405.1	chrUn_KI270312v1
NT_187404.1	chrUn_KI270315v1
NT_187403.1	chrUn_KI270316v1
NT_187407.1	chrUn_KI270317v1
NT_187401.1	chrUn_KI270320v1
NT_187400.1	chrUn_KI270322v1
NT_187459.1	chrUn_KI270329v1
NT_187458.1	chrUn_KI270330v1
NT_187461.1	chrUn_KI270333v1
NT_187460.1	chrUn_KI270334v1
NT_187462.1	chrUn_KI270335v1
NT_187465.1	chrUn_KI270336v1
NT_187466.1	chrUn_KI270337v1
NT_187463.1	chrUn_KI270338v1
NT_187464.1	chrUn_KI270340v1
NT_187469.1	chrUn_KI270362v1
NT_187467.1	chrUn_KI270363v1
NT_187468.1	chrUn_KI270364v1
NT_187470.1	chrUn_KI270366v1
NT_187494.1	chrUn_KI270371v1
NT_187491.1	chrUn_KI270372v1
NT_187492.1	chrUn_KI270373v1
NT_187490.1	chrUn_KI270374v1
NT_187493.1	chrUn_KI270375v1
NT_187489.1	chrUn_KI270376v1
NT_187471.1	chrUn_KI270378v1
NT_187472.1	chrUn_KI270379v1
NT_187486.1	chrUn_KI270381v1
NT_187488.1	chrUn_KI270382v1
NT_187482.1	chrUn_KI270383v1
NT_187484.1	chrUn_KI270384v1
NT_187487.1	chrUn_KI270385v1
NT_187480.1	chrUn_KI270386v1
NT_187475.1	chrUn_KI270387v1
NT_187478.1	chrUn_KI270388v1
NT_187473.1	chrUn_KI270389v1
NT_187474.1	chrUn_KI270390v1
NT_187481.1	chrUn_KI270391v1
NT_187485.1	chrUn_KI270392v1
NT_187483.1	chrUn_KI270393v1
NT_187479.1	chrUn_KI270394v1
NT_187476.1	chrUn_KI270395v1
NT_187477.1	chrUn_KI270396v1
NT_187409.1	chrUn_KI270411v1
NT_187408.1	chrUn_KI270412v1
NT_187410.1	chrUn_KI270414v1
NT_187415.1	chrUn_KI270417v1
NT_187412.1	chrUn_KI270418v1
NT_187411.1	chrUn_KI270419v1
NT_187413.1	chrUn_KI270420v1
NT_187416.1	chrUn_KI270422v1
NT_187417.1	chrUn_KI270423v1
NT_187414.1	chrUn_KI270424v1
NT_187418.1	chrUn_KI270425v1
NT_187419.1	chrUn_KI270429v1
NT_187424.1	chrUn_KI270435v1
NT_187425.1	chrUn_KI270438v1
NT_187420.1	chrUn_KI270442v1
NT_187495.1	chrUn_KI270448v1
NT_187422.1	chrUn_KI270465v1
NT_187421.1	chrUn_KI270466v1
NT_187423.1	chrUn_KI270467v1
NT_187426.1	chrUn_KI270468v1
NT_187437.1	chrUn_KI270507v1
NT_187430.1	chrUn_KI270508v1
NT_187428.1	chrUn_KI270509v1
NT_187427.1	chrUn_KI270510v1
NT_187435.1	chrUn_KI270511v1
NT_187432.1	chrUn_KI270512v1
NT_187436.1	chrUn_KI270515v1
NT_187431.1	chrUn_KI270516v1
NT_187438.1	chrUn_KI270517v1
NT_187429.1	chrUn_KI270518v1
NT_187433.1	chrUn_KI270519v1
NT_187496.1	chrUn_KI270521v1
NT_187434.1	chrUn_KI270522v1
NT_187440.1	chrUn_KI270528v1
NT_187439.1	chrUn_KI270529v1
NT_187441.1	chrUn_KI270530v1
NT_187443.1	chrUn_KI270538v1
NT_187442.1	chrUn_KI270539v1
NT_187444.1	chrUn_KI270544v1
NT_187445.1	chrUn_KI270548v1
NT_187450.1	chrUn_KI270579v1
NT_187448.1	chrUn_KI270580v1
NT_187449.1	chrUn_KI270581v1
NT_187454.1	chrUn_KI270582v1
NT_187446.1	chrUn_KI270583v1
NT_187453.1	chrUn_KI270584v1
NT_187447.1	chrUn_KI270587v1
NT_187455.1	chrUn_KI270588v1
NT_187451.1	chrUn_KI270589v1
NT_187452.1	chrUn_KI270590v1
NT_187457.1	chrUn_KI270591v1
NT_187456.1	chrUn_KI270593v1
NT_187497.1	chrUn_KI270741v1
NT_187513.1	chrUn_KI270742v1
NT_187498.1	chrUn_KI270743v1
NT_187499.1	chrUn_KI270744v1
NT_187500.1	chrUn_KI270745v1
NT_187501.1	chrUn_KI270746v1
NT_187502.1	chrUn_KI270747v1
NT_187503.1	chrUn_KI270748v1
NT_187504.1	chrUn_KI270749v1
NT_187505.1	chrUn_KI270750v1
NT_187506.1	chrUn_KI270751v1
NT_187508.1	chrUn_KI270753v1
NT_187509.1	chrUn_KI270754v1
NT_187510.1	chrUn_KI270755v1
NT_187511.1	chrUn_KI270756v1
NT_187512.1	chrUn_KI270757v1
NC_000023.11	chrX
NT_187634.1	chrX_KI270880v1_alt
NT_187635.1	chrX_KI270881v1_alt
NT_187667.1	chrX_KI270913v1_alt
NW_017363820.1	chrX_KV766199v1_alt
NW_021160027.1	chrX_ML143381v1_fix
NW_021160028.1	chrX_ML143382v1_fix
NW_021160029.1	chrX_ML143383v1_fix
NW_021160030.1	chrX_ML143384v1_fix
NW_021160031.1	chrX_ML143385v1_fix
NC_000024.10	chrY
NT_187395.1	chrY_KI270740v1_random
NW_009646209.1	chrY_KN196487v1_fix
NW_018654725.1	chrY_KZ208923v1_fix
NW_018654726.1	chrY_KZ208924v1_fix
