hg38_CytoBands_Info,b,c,d,e,f,chm13v2.0_CytoBands_Info,h,i,j,k,l,m,n
chr1,60800000,68500000,p31.3,gpos50,7700000,chr1,60678767,68377386,p31.3,gpos50,7698619,liftover,
chr1,68500000,69300000,p31.2,gneg,800000,chr1,68377386,69177517,p31.2,gneg,800131,liftover,
chr1,69300000,84400000,p31.1,gpos100,15100000,chr1,69177517,84240464,p31.1,gpos100,15062947,liftover,
chr1,84400000,87900000,p22.3,gneg,3500000,chr1,84240464,87743231,p22.3,gneg,3502767,liftover,
chr1,87900000,91500000,p22.2,gpos75,3600000,chr1,87743231,91344645,p22.2,gpos75,3601414,liftover,
chr1,91500000,94300000,p22.1,gneg,2800000,chr1,91344645,94148241,p22.1,gneg,2803596,liftover,
chr1,94300000,99300000,p21.3,gpos75,5000000,chr1,94148241,99148340,p21.3,gpos75,5000099,liftover,
chr1,99300000,101800000,p21.2,gneg,2500000,chr1,99148340,101649187,p21.2,gneg,2500847,liftover,
chr1,101800000,106700000,p21.1,gpos100,4900000,chr1,101649187,106737488,p21.1,gpos100,5088301,liftover,
chr1,106700000,111200000,p13.3,gneg,4500000,chr1,106737488,111214805,p13.3,gneg,4477317,liftover,
chr1,111200000,115500000,p13.2,gpos50,4300000,chr1,111214805,115511187,p13.2,gpos50,4296382,liftover,
chr1,115500000,117200000,p13.1,gneg,1700000,chr1,115511187,117210493,p13.1,gneg,1699306,liftover,
chr1,117200000,120400000,p12,gpos50,3200000,chr1,117210493,120413269,p12,gpos50,3202776,liftover,
chr1,120400000,121700000,p11.2,gneg,1300000,chr1,120413269,121796048,p11.2,gneg,1382779,"L boundary lifted over, R boundary at HOR array L boundary",
chr1,121700000,123400000,p11.1,acen,1700000,chr1,121796048,124048267,p11.1,acen,2252219,"L boundary at HOR array L boundary, R boundary at midpoint of HOR array",
chr1,123400000,125100000,q11,acen,1700000,chr1,124048267,126300487,q11,acen,2252220,"R boundary at HOR array R boundary, L boundary at midpoint of HOR array",
chr1,125100000,143200000,q12,gvar,18100000,chr1,126300487,142241659,q12,gvar,15941172,"L boundary at HOR array R boundary, R boundary lifted over",
chr1,143200000,147500000,q21.1,gneg,4300000,chr1,142241659,147308041,q21.1,gneg,5066382,liftover,
chr1,147500000,150600000,q21.2,gpos50,3100000,chr1,147308041,149724009,q21.2,gpos50,2415968,liftover,
chr1,150600000,155100000,q21.3,gneg,4500000,chr1,149724009,154239365,q21.3,gneg,4515356,liftover,
chr1,155100000,156600000,q22,gpos50,1500000,chr1,154239365,155736378,q22,gpos50,1497013,liftover,
chr1,156600000,159100000,q23.1,gneg,2500000,chr1,155736378,158237044,q23.1,gneg,2500666,liftover,
chr1,159100000,160500000,q23.2,gpos50,1400000,chr1,158237044,159637083,q23.2,gpos50,1400039,liftover,
chr1,160500000,165500000,q23.3,gneg,5000000,chr1,159637083,164846435,q23.3,gneg,5209352,liftover,
chr1,165500000,167200000,q24.1,gpos50,1700000,chr1,164846435,166547042,q24.1,gpos50,1700607,liftover,
chr1,167200000,170900000,q24.2,gneg,3700000,chr1,166547042,170256335,q24.2,gneg,3709293,liftover,
chr1,170900000,173000000,q24.3,gpos75,2100000,chr1,170256335,172358116,q24.3,gpos75,2101781,liftover,
chr1,173000000,176100000,q25.1,gneg,3100000,chr1,172358116,175455343,q25.1,gneg,3097227,liftover,
chr1,176100000,180300000,q25.2,gpos50,4200000,chr1,175455343,179655381,q25.2,gpos50,4200038,liftover,
chr1,180300000,185800000,q25.3,gneg,5500000,chr1,179655381,185154686,q25.3,gneg,5499305,liftover,
chr1,185800000,190800000,q31.1,gpos100,5000000,chr1,185154686,190146214,q31.1,gpos100,4991528,liftover,
chr1,190800000,193800000,q31.2,gneg,3000000,chr1,190146214,193148937,q31.2,gneg,3002723,liftover,
chr1,193800000,198700000,q31.3,gpos100,4900000,chr1,193148937,197959914,q31.3,gpos100,4810977,liftover,
chr1,198700000,207100000,q32.1,gneg,8400000,chr1,197959914,206365243,q32.1,gneg,8405329,liftover,
chr1,207100000,211300000,q32.2,gpos25,4200000,chr1,206365243,210545587,q32.2,gpos25,4180344,liftover,
chr1,211300000,214400000,q32.3,gneg,3100000,chr1,210545587,213639518,q32.3,gneg,3093931,liftover,
chr1,214400000,223900000,q41,gpos100,9500000,chr1,213639518,223089723,q41,gpos100,9450205,liftover,
chr1,223900000,224400000,q42.11,gneg,500000,chr1,223089723,223588804,q42.11,gneg,499081,liftover,
chr1,224400000,226800000,q42.12,gpos25,2400000,chr1,223588804,225987880,q42.12,gpos25,2399076,liftover,
chr1,226800000,230500000,q42.13,gneg,3700000,chr1,225987880,229880334,q42.13,gneg,3892454,liftover,
chr1,230500000,234600000,q42.2,gpos50,4100000,chr1,229880334,233990393,q42.2,gpos50,4110059,liftover,
chr1,234600000,236400000,q42.3,gneg,1800000,chr1,233990393,235800112,q42.3,gneg,1809719,liftover,
chr1,236400000,243500000,q43,gpos75,7100000,chr1,235800112,242911804,q43,gpos75,7111692,liftover,
chr1,243500000,248956422,q44,gneg,5456422,chr1,242911804,248387328,q44,gneg,5475524,"L boundary liftover, R boundary set to chromosome end",
chr10,0,3000000,p15.3,gneg,3000000,chr10,0,2999810,p15.3,gneg,2999810,liftover,
chr10,3000000,3800000,p15.2,gpos25,800000,chr10,2999810,3803899,p15.2,gpos25,804089,liftover,
chr10,3800000,6600000,p15.1,gneg,2800000,chr10,3803899,6600140,p15.1,gneg,2796241,liftover,
chr10,6600000,12200000,p14,gpos75,5600000,chr10,6600140,12211271,p14,gpos75,5611131,liftover,
chr10,12200000,17300000,p13,gneg,5100000,chr10,12211271,17318428,p13,gneg,5107157,liftover,
chr10,17300000,18300000,p12.33,gpos75,1000000,chr10,17318428,18319354,p12.33,gpos75,1000926,liftover,
chr10,18300000,18400000,p12.32,gneg,100000,chr10,18319354,18419356,p12.32,gneg,100002,liftover,
chr10,18400000,22300000,p12.31,gpos75,3900000,chr10,18419356,22319034,p12.31,gpos75,3899678,liftover,
chr10,22300000,24300000,p12.2,gneg,2000000,chr10,22319034,24318538,p12.2,gneg,1999504,liftover,
chr10,24300000,29300000,p12.1,gpos50,5000000,chr10,24318538,29331681,p12.1,gpos50,5013143,liftover,
chr10,29300000,31100000,p11.23,gneg,1800000,chr10,29331681,31131269,p11.23,gneg,1799588,liftover,
chr10,31100000,34200000,p11.22,gpos25,3100000,chr10,31131269,34228529,p11.22,gpos25,3097260,liftover,
chr10,34200000,38000000,p11.21,gneg,3800000,chr10,34228529,39633793,p11.21,gneg,5405264,"L boundary lifted over, R boundary at HOR array L boundary",
chr10,38000000,39800000,p11.1,acen,1800000,chr10,39633793,40649191,p11.1,acen,1015398,"L boundary at HOR array L boundary, R boundary at midpoint of HOR array",
chr10,39800000,41600000,q11.1,acen,1800000,chr10,40649191,41664589,q11.1,acen,1015398,"R boundary at HOR array R boundary, L boundary at midpoint of HOR array",
chr10,41600000,45500000,q11.21,gneg,3900000,chr10,41664589,46381004,q11.21,gneg,4716415,"L boundary at HOR array R boundary, R boundary lifted over",
chr10,45500000,48600000,q11.22,gpos25,3100000,chr10,46381004,49449041,q11.22,gpos25,3068037,liftover,
chr10,48600000,51100000,q11.23,gneg,2500000,chr10,49449041,51948621,q11.23,gneg,2499580,liftover,
chr10,51100000,59400000,q21.1,gpos100,8300000,chr10,51948621,60254318,q21.1,gpos100,8305697,liftover,
chr10,59400000,62800000,q21.2,gneg,3400000,chr10,60254318,63658144,q21.2,gneg,3403826,liftover,
chr10,62800000,68800000,q21.3,gpos100,6000000,chr10,63658144,69669152,q21.3,gpos100,6011008,liftover,
chr10,68800000,73100000,q22.1,gneg,4300000,chr10,69669152,73971392,q22.1,gneg,4302240,liftover,
chr10,73100000,75900000,q22.2,gpos50,2800000,chr10,73971392,76774110,q22.2,gpos50,2802718,liftover,
chr10,75900000,80300000,q22.3,gneg,4400000,chr10,76774110,81169099,q22.3,gneg,4394989,liftover,
chr10,80300000,86100000,q23.1,gpos100,5800000,chr10,81169099,86980090,q23.1,gpos100,5810991,liftover,
chr10,86100000,87700000,q23.2,gneg,1600000,chr10,86980090,88583858,q23.2,gneg,1603768,liftover,
chr10,87700000,91100000,q23.31,gpos75,3400000,chr10,88583858,91983671,q23.31,gpos75,3399813,liftover,
chr10,91100000,92300000,q23.32,gneg,1200000,chr10,91983671,93182363,q23.32,gneg,1198692,liftover,
chr10,92300000,95300000,q23.33,gpos50,3000000,chr10,93182363,96179180,q23.33,gpos50,2996817,liftover,
chr10,95300000,97500000,q24.1,gneg,2200000,chr10,96179180,98380193,q24.1,gneg,2201013,liftover,
chr10,97500000,100100000,q24.2,gpos50,2600000,chr10,98380193,100984294,q24.2,gpos50,2604101,liftover,
chr10,100100000,101200000,q24.31,gneg,1100000,chr10,100984294,102083356,q24.31,gneg,1099062,liftover,
chr10,101200000,103100000,q24.32,gpos25,1900000,chr10,102083356,103986242,q24.32,gpos25,1902886,liftover,
chr10,103100000,104000000,q24.33,gneg,900000,chr10,103986242,104887391,q24.33,gneg,901149,liftover,
chr10,104000000,110100000,q25.1,gpos100,6100000,chr10,104887391,110983867,q25.1,gpos100,6096476,liftover,
chr10,110100000,113100000,q25.2,gneg,3000000,chr10,110983867,113991312,q25.2,gneg,3007445,liftover,
chr10,113100000,117300000,q25.3,gpos75,4200000,chr10,113991312,118194477,q25.3,gpos75,4203165,liftover,
chr10,117300000,119900000,q26.11,gneg,2600000,chr10,118194477,120797529,q26.11,gneg,2603052,liftover,
chr10,119900000,121400000,q26.12,gpos50,1500000,chr10,120797529,122296091,q26.12,gpos50,1498562,liftover,
chr10,121400000,125700000,q26.13,gneg,4300000,chr10,122296091,126582419,q26.13,gneg,4286328,liftover,
chr10,125700000,128800000,q26.2,gpos50,3100000,chr10,126582419,129725246,q26.2,gpos50,3142827,liftover,
chr10,128800000,133797422,q26.3,gneg,4997422,chr10,129725246,134758134,q26.3,gneg,5032888,"L boundary liftover, R boundary set to chromosome end",
chr11,0,2800000,p15.5,gneg,2800000,chr11,0,2889344,p15.5,gneg,2889344,liftover,
chr11,2800000,11700000,p15.4,gpos50,8900000,chr11,2889344,11789203,p15.4,gpos50,8899859,liftover,
chr11,11700000,13800000,p15.3,gneg,2100000,chr11,11789203,13892569,p15.3,gneg,2103366,liftover,
chr11,13800000,16900000,p15.2,gpos50,3100000,chr11,13892569,16997372,p15.2,gpos50,3104803,liftover,
chr11,16900000,22000000,p15.1,gneg,5100000,chr11,16997372,22120532,p15.1,gneg,5123160,liftover,
chr11,22000000,26200000,p14.3,gpos100,4200000,chr11,22120532,26340879,p14.3,gpos100,4220347,liftover,
chr11,26200000,27200000,p14.2,gneg,1000000,chr11,26340879,27340466,p14.2,gneg,999587,liftover,
chr11,27200000,31000000,p14.1,gpos75,3800000,chr11,27340466,31136090,p14.1,gpos75,3795624,liftover,
chr11,31000000,36400000,p13,gneg,5400000,chr11,31136090,36542448,p13,gneg,5406358,liftover,
chr11,36400000,43400000,p12,gpos100,7000000,chr11,36542448,43555411,p12,gpos100,7012963,liftover,
chr11,43400000,48800000,p11.2,gneg,5400000,chr11,43555411,48958062,p11.2,gneg,5402651,liftover,
chr11,48800000,51000000,p11.12,gpos75,2200000,chr11,48958062,51035789,p11.12,gpos75,2077727,"L boundary lifted over, R boundary at HOR array L boundary",
chr11,51000000,53400000,p11.11,acen,2400000,chr11,51035789,52743313,p11.11,acen,1707524,"L boundary at HOR array L boundary, R boundary at midpoint of HOR array",
chr11,53400000,55800000,q11,acen,2400000,chr11,52743313,54450838,q11,acen,1707525,"R boundary at HOR array R boundary, L boundary at midpoint of HOR array",
chr11,55800000,60100000,q12.1,gpos75,4300000,chr11,54450838,60051280,q12.1,gpos75,5600442,"L boundary at HOR array R boundary, R boundary lifted over",
chr11,60100000,61900000,q12.2,gneg,1800000,chr11,60051280,61888804,q12.2,gneg,1837524,liftover,
chr11,61900000,63600000,q12.3,gpos25,1700000,chr11,61888804,63589288,q12.3,gpos25,1700484,liftover,
chr11,63600000,66100000,q13.1,gneg,2500000,chr11,63589288,66094130,q13.1,gneg,2504842,liftover,
chr11,66100000,68700000,q13.2,gpos25,2600000,chr11,66094130,68706120,q13.2,gpos25,2611990,liftover,
chr11,68700000,70500000,q13.3,gneg,1800000,chr11,68706120,70520423,q13.3,gneg,1814303,liftover,
chr11,70500000,75500000,q13.4,gpos50,5000000,chr11,70520423,75429506,q13.4,gpos50,4909083,liftover,
chr11,75500000,77400000,q13.5,gneg,1900000,chr11,75429506,77332929,q13.5,gneg,1903423,liftover,
chr11,77400000,85900000,q14.1,gpos100,8500000,chr11,77332929,85836684,q14.1,gpos100,8503755,liftover,
chr11,85900000,88600000,q14.2,gneg,2700000,chr11,85836684,88519134,q14.2,gneg,2682450,liftover,
chr11,88600000,93000000,q14.3,gpos100,4400000,chr11,88519134,92928863,q14.3,gpos100,4409729,liftover,
chr11,93000000,97400000,q21,gneg,4400000,chr11,92928863,97406624,q21,gneg,4477761,liftover,
chr11,97400000,102300000,q22.1,gpos100,4900000,chr11,97406624,102302118,q22.1,gpos100,4895494,liftover,
chr11,102300000,103000000,q22.2,gneg,700000,chr11,102302118,103003764,q22.2,gneg,701646,liftover,
chr11,103000000,110600000,q22.3,gpos100,7600000,chr11,103003764,110610246,q22.3,gpos100,7606482,liftover,
chr11,110600000,112700000,q23.1,gneg,2100000,chr11,110610246,112710438,q23.1,gneg,2100192,liftover,
chr11,112700000,114600000,q23.2,gpos50,1900000,chr11,112710438,114610447,q23.2,gpos50,1900009,liftover,
chr11,114600000,121300000,q23.3,gneg,6700000,chr11,114610447,121325059,q23.3,gneg,6714612,liftover,
chr11,121300000,124000000,q24.1,gpos50,2700000,chr11,121325059,124028615,q24.1,gpos50,2703556,liftover,
chr11,124000000,127900000,q24.2,gneg,3900000,chr11,124028615,127933253,q24.2,gneg,3904638,liftover,
chr11,127900000,130900000,q24.3,gpos50,3000000,chr11,127933253,130935758,q24.3,gpos50,3002505,liftover,
chr11,130900000,135086622,q25,gneg,4186622,chr11,130935758,135127769,q25,gneg,4192011,"L boundary liftover, R boundary set to chromosome end",
chr12,0,3200000,p13.33,gneg,3200000,chr12,0,3215744,p13.33,gneg,3215744,liftover,
chr12,3200000,5300000,p13.32,gpos25,2100000,chr12,3215744,5306179,p13.32,gpos25,2090435,liftover,
chr12,5300000,10000000,p13.31,gneg,4700000,chr12,5306179,9886155,p13.31,gneg,4579976,liftover,
chr12,10000000,12600000,p13.2,gpos75,2600000,chr12,9886155,12469144,p13.2,gpos75,2582989,liftover,
chr12,12600000,14600000,p13.1,gneg,2000000,chr12,12469144,14477435,p13.1,gneg,2008291,liftover,
chr12,14600000,19800000,p12.3,gpos100,5200000,chr12,14477435,19678338,p12.3,gpos100,5200903,liftover,
chr12,19800000,21100000,p12.2,gneg,1300000,chr12,19678338,20978622,p12.2,gneg,1300284,liftover,
chr12,21100000,26300000,p12.1,gpos100,5200000,chr12,20978622,26172544,p12.1,gpos100,5193922,liftover,
chr12,26300000,27600000,p11.23,gneg,1300000,chr12,26172544,27471672,p11.23,gneg,1299128,liftover,
chr12,27600000,30500000,p11.22,gpos50,2900000,chr12,27471672,30374680,p11.22,gpos50,2903008,liftover,
chr12,30500000,33200000,p11.21,gneg,2700000,chr12,30374680,34620838,p11.21,gneg,4246158,"L boundary lifted over, R boundary at HOR array L boundary",
chr12,33200000,35500000,p11.1,acen,2300000,chr12,34620838,35911664,p11.1,acen,1290826,"L boundary at HOR array L boundary, R boundary at midpoint of HOR array",
chr12,35500000,37800000,q11,acen,2300000,chr12,35911664,37202490,q11,acen,1290826,"R boundary at HOR array R boundary, L boundary at midpoint of HOR array",
chr12,37800000,46000000,q12,gpos100,8200000,chr12,37202490,45959545,q12,gpos100,8757055,"L boundary at HOR array R boundary, R boundary lifted over",
chr12,46000000,48700000,q13.11,gneg,2700000,chr12,45959545,48662027,q13.11,gneg,2702482,liftover,
chr12,48700000,51100000,q13.12,gpos25,2400000,chr12,48662027,51062917,q13.12,gpos25,2400890,liftover,
chr12,51100000,54500000,q13.13,gneg,3400000,chr12,51062917,54466577,q13.13,gneg,3403660,liftover,
chr12,54500000,56200000,q13.2,gpos25,1700000,chr12,54466577,56167601,q13.2,gpos25,1701024,liftover,
chr12,56200000,57700000,q13.3,gneg,1500000,chr12,56167601,57668365,q13.3,gneg,1500764,liftover,
chr12,57700000,62700000,q14.1,gpos75,5000000,chr12,57668365,62678775,q14.1,gpos75,5010410,liftover,
chr12,62700000,64700000,q14.2,gneg,2000000,chr12,62678775,64679035,q14.2,gneg,2000260,liftover,
chr12,64700000,67300000,q14.3,gpos50,2600000,chr12,64679035,67279394,q14.3,gpos50,2600359,liftover,
chr12,67300000,71100000,q15,gneg,3800000,chr12,67279394,71079501,q15,gneg,3800107,liftover,
chr12,71100000,75300000,q21.1,gpos75,4200000,chr12,71079501,75274601,q21.1,gpos75,4195100,liftover,
chr12,75300000,79900000,q21.2,gneg,4600000,chr12,75274601,79878671,q21.2,gneg,4604070,liftover,
chr12,79900000,86300000,q21.31,gpos100,6400000,chr12,79878671,86280942,q21.31,gpos100,6402271,liftover,
chr12,86300000,88600000,q21.32,gneg,2300000,chr12,86280942,88581935,q21.32,gneg,2300993,liftover,
chr12,88600000,92200000,q21.33,gpos100,3600000,chr12,88581935,92177463,q21.33,gpos100,3595528,liftover,
chr12,92200000,95800000,q22,gneg,3600000,chr12,92177463,95779143,q22,gneg,3601680,liftover,
chr12,95800000,101200000,q23.1,gpos75,5400000,chr12,95779143,101161710,q23.1,gpos75,5382567,liftover,
chr12,101200000,103500000,q23.2,gneg,2300000,chr12,101161710,103460805,q23.2,gneg,2299095,liftover,
chr12,103500000,108600000,q23.3,gpos50,5100000,chr12,103460805,108574599,q23.3,gpos50,5113794,liftover,
chr12,108600000,111300000,q24.11,gneg,2700000,chr12,108574599,111279651,q24.11,gneg,2705052,liftover,
chr12,111300000,111900000,q24.12,gpos25,600000,chr12,111279651,111876909,q24.12,gpos25,597258,liftover,
chr12,111900000,113900000,q24.13,gneg,2000000,chr12,111876909,113875849,q24.13,gneg,1998940,liftover,
chr12,113900000,116400000,q24.21,gpos50,2500000,chr12,113875849,116381153,q24.21,gpos50,2505304,liftover,
chr12,116400000,117700000,q24.22,gneg,1300000,chr12,116381153,117687226,q24.22,gneg,1306073,liftover,
chr12,117700000,120300000,q24.23,gpos50,2600000,chr12,117687226,120287197,q24.23,gpos50,2599971,liftover,
chr12,120300000,125400000,q24.31,gneg,5100000,chr12,120287197,125408188,q24.31,gneg,5120991,liftover,
chr12,125400000,128700000,q24.32,gpos50,3300000,chr12,125408188,128730796,q24.32,gpos50,3322608,liftover,
chr12,128700000,133275309,q24.33,gneg,4575309,chr12,128730796,133324548,q24.33,gneg,4593752,"L boundary liftover, R boundary set to chromosome end",
chr13,0,4600000,p13,gvar,4600000,chr13,0,5751447,p13,gvar,5751447,R boundary at rDNA L boundary,
chr13,4600000,10100000,p12,stalk,5500000,chr13,5751447,9368750,p12,stalk,3617303,boundaries at rDNA array boundaries,
chr13,10100000,16500000,p11.2,gvar,6400000,chr13,9368750,15547593,p11.2,gvar,6178843,"L boundary at rDNA R boundary, R boundary at HOR array L boundary",
chr13,16500000,17700000,p11.1,acen,1200000,chr13,15547593,16522942,p11.1,acen,975349,"L boundary at HOR array L boundary, R boundary at midpoint of HOR array",
chr13,17700000,18900000,q11,acen,1200000,chr13,16522942,17498291,q11,acen,975349,"R boundary at HOR array R boundary, L boundary at midpoint of HOR array",
chr13,18900000,22600000,q12.11,gneg,3700000,chr13,17498291,21797623,q12.11,gneg,4299332,"L boundary at HOR array R boundary, R boundary lifted over",
chr13,22600000,24900000,q12.12,gpos25,2300000,chr13,21797623,24108235,q12.12,gpos25,2310612,liftover,
chr13,24900000,27200000,q12.13,gneg,2300000,chr13,24108235,26420720,q12.13,gneg,2312485,liftover,
chr13,27200000,28300000,q12.2,gpos25,1100000,chr13,26420720,27522230,q12.2,gpos25,1101510,liftover,
chr13,28300000,31600000,q12.3,gneg,3300000,chr13,27522230,30823418,q12.3,gneg,3301188,liftover,
chr13,31600000,33400000,q13.1,gpos50,1800000,chr13,30823418,32617334,q13.1,gpos50,1793916,liftover,
chr13,33400000,34900000,q13.2,gneg,1500000,chr13,32617334,34118269,q13.2,gneg,1500935,liftover,
chr13,34900000,39500000,q13.3,gpos75,4600000,chr13,34118269,38718394,q13.3,gpos75,4600125,liftover,
chr13,39500000,44600000,q14.11,gneg,5100000,chr13,38718394,43819777,q14.11,gneg,5101383,liftover,
chr13,44600000,45200000,q14.12,gpos25,600000,chr13,43819777,44420051,q14.12,gpos25,600274,liftover,
chr13,45200000,46700000,q14.13,gneg,1500000,chr13,44420051,45921251,q14.13,gneg,1501200,liftover,
chr13,46700000,50300000,q14.2,gpos50,3600000,chr13,45921251,49520618,q14.2,gpos50,3599367,liftover,
chr13,50300000,54700000,q14.3,gneg,4400000,chr13,49520618,53916044,q14.3,gneg,4395426,liftover,
chr13,54700000,59000000,q21.1,gpos100,4300000,chr13,53916044,58219746,q21.1,gpos100,4303702,liftover,
chr13,59000000,61800000,q21.2,gneg,2800000,chr13,58219746,61020124,q21.2,gneg,2800378,liftover,
chr13,61800000,65200000,q21.31,gpos75,3400000,chr13,61020124,64418827,q21.31,gpos75,3398703,liftover,
chr13,65200000,68100000,q21.32,gneg,2900000,chr13,64418827,67322320,q21.32,gneg,2903493,liftover,
chr13,68100000,72800000,q21.33,gpos100,4700000,chr13,67322320,72021474,q21.33,gpos100,4699154,liftover,
chr13,72800000,74900000,q22.1,gneg,2100000,chr13,72021474,74123996,q22.1,gneg,2102522,liftover,
chr13,74900000,76700000,q22.2,gpos50,1800000,chr13,74123996,75923712,q22.2,gpos50,1799716,liftover,
chr13,76700000,78500000,q22.3,gneg,1800000,chr13,75923712,77725243,q22.3,gneg,1801531,liftover,
chr13,78500000,87100000,q31.1,gpos100,8600000,chr13,77725243,86303655,q31.1,gpos100,8578412,liftover,
chr13,87100000,89400000,q31.2,gneg,2300000,chr13,86303655,88604095,q31.2,gneg,2300440,liftover,
chr13,89400000,94400000,q31.3,gpos100,5000000,chr13,88604095,93603590,q31.3,gpos100,4999495,liftover,
chr13,94400000,97500000,q32.1,gneg,3100000,chr13,93603590,96706317,q32.1,gneg,3102727,liftover,
chr13,97500000,98700000,q32.2,gpos25,1200000,chr13,96706317,97909939,q32.2,gpos25,1203622,liftover,
chr13,98700000,101100000,q32.3,gneg,2400000,chr13,97909939,100315089,q32.3,gneg,2405150,liftover,
chr13,101100000,104200000,q33.1,gpos100,3100000,chr13,100315089,103418692,q33.1,gpos100,3103603,liftover,
chr13,104200000,106400000,q33.2,gneg,2200000,chr13,103418692,105620405,q33.2,gneg,2201713,liftover,
chr13,106400000,109600000,q33.3,gpos100,3200000,chr13,105620405,108828306,q33.3,gpos100,3207901,liftover,
chr13,109600000,114364328,q34,gneg,4764328,chr13,108828306,113566686,q34,gneg,4738380,"L boundary liftover, R boundary set to chromosome end",
chr14,0,3600000,p13,gvar,3600000,chr14,0,2077628,p13,gvar,2077628,R boundary at rDNA L boundary,
chr14,3600000,8000000,p12,stalk,4400000,chr14,2077628,2840421,p12,stalk,762793,boundaries at rDNA array boundaries,
chr14,8000000,16100000,p11.2,gvar,8100000,chr14,2840421,10092112,p11.2,gvar,7251691,"L boundary at rDNA R boundary, R boundary at HOR array L boundary",
chr14,16100000,17200000,p11.1,acen,1100000,chr14,10092112,11400261,p11.1,acen,1308149,"L boundary at HOR array L boundary, R boundary at midpoint of HOR array",
chr14,17200000,18200000,q11.1,acen,1000000,chr14,11400261,12708411,q11.1,acen,1308150,"R boundary at HOR array R boundary, L boundary at midpoint of HOR array",
chr14,18200000,24100000,q11.2,gneg,5900000,chr14,12708411,18298312,q11.2,gneg,5589901,"L boundary at HOR array R boundary, R boundary lifted over",
chr14,24100000,32900000,q12,gpos100,8800000,chr14,18298312,27096896,q12,gpos100,8798584,liftover,
chr14,32900000,34800000,q13.1,gneg,1900000,chr14,27096896,28999171,q13.1,gneg,1902275,liftover,
chr14,34800000,36100000,q13.2,gpos50,1300000,chr14,28999171,30288797,q13.2,gpos50,1289626,liftover,
chr14,36100000,37400000,q13.3,gneg,1300000,chr14,30288797,31589055,q13.3,gneg,1300258,liftover,
chr14,37400000,43000000,q21.1,gpos100,5600000,chr14,31589055,37191028,q21.1,gpos100,5601973,liftover,
chr14,43000000,46700000,q21.2,gneg,3700000,chr14,37191028,40898832,q21.2,gneg,3707804,liftover,
chr14,46700000,50400000,q21.3,gpos100,3700000,chr14,40898832,44606207,q21.3,gpos100,3707375,liftover,
chr14,50400000,53600000,q22.1,gneg,3200000,chr14,44606207,47808271,q22.1,gneg,3202064,liftover,
chr14,53600000,55000000,q22.2,gpos25,1400000,chr14,47808271,49205176,q22.2,gpos25,1396905,liftover,
chr14,55000000,57600000,q22.3,gneg,2600000,chr14,49205176,51806957,q22.3,gneg,2601781,liftover,
chr14,57600000,61600000,q23.1,gpos75,4000000,chr14,51806957,55806586,q23.1,gpos75,3999629,liftover,
chr14,61600000,64300000,q23.2,gneg,2700000,chr14,55806586,58507715,q23.2,gneg,2701129,liftover,
chr14,64300000,67400000,q23.3,gpos50,3100000,chr14,58507715,61607123,q23.3,gpos50,3099408,liftover,
chr14,67400000,69800000,q24.1,gneg,2400000,chr14,61607123,64007668,q24.1,gneg,2400545,liftover,
