acc	rand
H30623	0.8456
AA302617	0.6798
AA366720	0.8621
AA814426	0.2711
BF813693	0.7691
AI942475	0.0324
BG260643	0.8548
AU099889	0.1767
AI651654	0.3191
BF229389	0.0655
BE384453	0.3702
R44515	0.6546
AA493336	0.1623
T59697	0.8476
AI038276	0.7511
BG008666	0.2128
BE393195	0.8105
BE906598	0.4143
BF371095	0.6398
AV681848	0.9564
BG287944	0.8625
AI810534	0.4432
BE502490	0.6287
BG118543	0.8139
AW150316	0.1835
AA357524	0.4756
N84461	0.8274
AW731631	0.7101
AW386623	0.0685
AA744747	0.2122
AW003480	0.8556
AI755242	0.6415
AA233295	0.6406
BE143189	0.2785
BE142260	0.4707
AA531061	0.5179
BF213082	0.1776
BF852888	0.3341
BE007445	0.1376
BF000888	0.6858
AA779358	0.0164
AI873060	0.0243
AW813919	0.0724
BE163533	0.2892
L44352	0.2286
BF990157	0.2757
T16319	0.6924
BG492240	0.6351
AI189576	0.0981
T98328	0.5853
BF804727	0.6321
AI559437	0.4048
AW001890	0.1275
T52543	0.4233
AA459064	0.7338
AW390799	0.3993
AW860895	0.7950
AW835414	0.7770
AL575111	0.5003
AA206998	0.1703
BE263161	0.3505
BG429645	0.2416
BF953820	0.1565
AU157245	0.0575
BF674605	0.8183
N40226	0.9191
AA864432	0.1405
AI769916	0.9451
BE695379	0.3040
R22019	0.6849
AI829633	0.5124
BE930841	0.5073
AA148536	0.9994
AU140788	0.4750
AI220849	0.3767
AA573292	0.4584
AI908124	0.1620
AA321751	0.4348
BG476817	0.6882
AW664336	0.1363
AI092724	0.6169
H82626	0.6756
AL520489	0.5272
AW339240	0.6094
R19996	0.4655
BF675927	0.4991
BG110870	0.0992
AI584016	0.9986
AA552690	0.6952
BE178439	0.4804
AI879471	0.3164
T84798	0.1407
AW875958	0.7545
T89228	0.3502
BF329175	0.4876
BE768648	0.3874
AW820494	0.4741
AI248989	0.2083
AI089617	0.6190
AI247827	0.4704
AA188253	0.4948
BE303038	0.0631
AA455135	0.8308
AI815926	0.9649
AW235429	0.3322
R01821	0.7663
BF982123	0.8347
AA928822	0.8748
BF381746	0.8699
AA532573	0.7249
AW505222	0.0148
BF676750	0.8994
AI655691	0.4526
N39126	0.5650
BE620700	0.4670
BF572542	0.6400
AA293280	0.7990
AA622196	0.0751
W96304	0.9784
AI903013	0.6669
BE835296	0.3992
N32305	0.9955
AW002374	0.7796
AW503005	0.9115
BE933610	0.2188
BG248220	0.3596
AI672120	0.1415
BF183446	0.6289
R49137	0.7197
BF737629	0.7117
R99031	0.3997
AI338761	0.8633
AV692939	0.1175
AA744682	0.9977
AI951917	0.6358
AI821881	0.1859
BE543985	0.0221
BF206686	0.5528
BG502116	0.6976
BF347868	0.8295
AA226843	0.0549
BG531355	0.7862
R19327	0.7660
BE891244	0.4714
BE739480	0.0589
AI807902	0.8802
AW971865	0.2246
BF090925	0.4822
AA715842	0.7372
W56520	0.2396
AW410992	0.9862
AA339900	0.2123
BG338856	0.1031
BF433455	0.8784
AI581196	0.0826
BE764646	0.7780
C05149	0.6423
W25337	0.8772
F34837	0.4593
AI806881	0.6647
AW063515	0.9456
AI148806	0.7340
BF852921	0.8334
BG001595	0.9648
AI971799	0.3238
AA476418	0.7245
BG028955	0.6513
BE146632	0.0830
BE769557	0.4610
BF718521	0.0560
R12077	0.8972
AA242952	0.3180
AI701664	0.8983
BE566191	0.5376
AA442947	0.9930
AI640615	0.3524
AA131532	0.7829
T77368	0.8575
T48005	0.9385
BF370761	0.1202
C20974	0.7855
BE004201	0.5669
AA889532	0.4778
AW865714	0.6883
T51477	0.0080
T28209	0.9753
AI809719	0.8527
AA700332	0.3373
BE697944	0.1284
BE827889	0.6300
BF055886	0.7647
AV687481	0.9338
BF755907	0.3749
F13507	0.0731
AW995397	0.2408
AW027794	0.9848
N22250	0.2015
AU155715	0.0529
N63930	0.6602
AI796034	0.1421
AA650576	0.7298
AA157508	0.2230
AW815942	0.9253
AA490172	0.9575
AW613479	0.0119
AA319632	0.1868
AW958445	0.8983
BG388931	0.9311
BF901698	0.9606
AA506801	0.0097
AW474709	0.1668
BG249550	0.8050
AW849620	0.5246
T05992	0.2078
BE548976	0.4652
AW873353	0.7028
W49683	0.1182
AW900596	0.4828
BF957798	0.0594
AW518915	0.8485
AI424726	0.0644
BG562818	0.7763
AW873394	0.6883
AA411553	0.1128
H93875	0.4989
AW515831	0.1561
BF542140	0.2839
BE697702	0.9513
AA143064	0.9049
AW590010	0.6705
AI039058	0.6377
AI521580	0.1770
W90213	0.9721
BE170770	0.3294
AA525874	0.7307
AI364065	0.6654
AW189942	0.1350
AI367011	0.6786
AI417919	0.9881
AA725039	0.9047
BF741681	0.5594
BE767573	0.0826
AU136413	0.7349
BG424547	0.4265
AA769661	0.9282
BE391330	0.3611
BE253693	0.0211
AW402640	0.0223
AA812682	0.0482
AI743780	0.1740
AL558119	0.7253
AA374579	0.1048
AW291385	0.3478
AW854257	0.4245
AV654447	0.0793
BE887520	0.1229
AW296486	0.3766
N47828	0.5145
BF830286	0.4426
AA557920	0.6696
AI040852	0.0201
AI633254	0.0916
W94361	0.3978
AA337742	0.7140
N41132	0.3769
AA812412	0.7423
BF922834	0.5809
BF874156	0.6775
AA126163	0.6448
AU123744	0.1914
BF930338	0.0226
AI280111	0.5390
M79031	0.6271
BE903552	0.5186
BF224190	0.7115
AW134609	0.0017
BE720730	0.8739
H88705	0.3646
BE503629	0.2012
AI862969	0.9123
AA883741	0.9580
BE874499	0.0532
AU160249	0.3916
BE177260	0.7988
D51581	0.8189
AI270075	0.6983
AA055214	0.0349
AI290935	0.0795
AA736785	0.2930
AI080448	0.2262
AI002488	0.2521
AV718788	0.5820
BF856758	0.1538
AA501591	0.0229
BG538991	0.6529
R26981	0.1958
AI355197	0.0205
BF438063	0.5152
BF766803	0.5145
BE266946	0.0266
AW439910	0.5898
AA586940	0.8691
BF593147	0.5762
AI133349	0.2738
AI784315	0.6403
AW068291	0.3800
AI858059	0.9791
BE791845	0.7556
BF054907	0.8408
AI909720	0.9372
AL557168	0.1636
BF353899	0.0063
BE546542	0.5408
AI857523	0.6852
AI343731	0.8033
BG287378	0.9612
BF979037	0.3961
BG169118	0.0970
AW192584	0.2965
BG112081	0.1917
AU158690	0.0689
AW088723	0.7694
BF037523	0.6405
AI702313	0.8941
AI419372	0.5489
BE181878	0.0624
AI417758	0.6650
AI262408	0.1381
BE162353	0.6954
BF768208	0.0625
AA091526	0.2265
AW138295	0.9451
F27727	0.0459
BG107048	0.3942
AW249570	0.8334
AW970391	0.9844
F35608	0.4217
BE799970	0.1554
BF690822	0.5119
BE045949	0.0932
AV754417	0.9305
H00429	0.3730
AA152390	0.0732
BE748811	0.2473
AV710534	0.0167
AW896898	0.3416
AI522263	0.6579
AI700957	0.2646
AA582470	0.3492
AI433406	0.9525
AI184885	0.7149
AA468879	0.7169
AW391508	0.4397
BF431457	0.0479
C75256	0.9202
AW402319	0.4575
AW044654	0.5266
BE734210	0.2608
AI700773	0.7243
AA422158	0.8389
AW363846	0.0216
R01382	0.5915
BE887342	0.8927
AI628940	0.6889
BE385014	0.7663
AA482563	0.7651
BE162117	0.5263
AI347601	0.3363
AW512161	0.1024
AL549054	0.5032
BE973559	0.2088
AW797278	0.5344
AW304342	0.0457
AI858831	0.6251
AL045689	0.9887
AA904050	0.0679
AA632768	0.3735
BG432713	0.6637
BE674157	0.1979
AU154991	0.9986
AI817762	0.3992
N68099	0.0004
D55929	0.8044
AL564243	0.0206
AI333143	0.6901
BG545850	0.3884
BE087276	0.8717
C03029	0.1932
N99612	0.3511
BF508352	0.1760
AU133437	0.8265
AA480901	0.6047
AW363616	0.5439
BE348767	0.9054
BG542256	0.8952
AA894696	0.7600
AA214711	0.1144
AU122729	0.2918
AU107237	0.1157
BE712235	0.7034
BF957093	0.1698
AA766553	0.7389
AI650265	0.1849
AA846923	0.7080
AU138984	0.9853
AW207271	0.8023
BE907427	0.0559
AW580490	0.8725
BE974461	0.1946
AA579760	0.3555
BE729606	0.1937
AA171993	0.9019
AL575039	0.9287
BF030785	0.9377
AW327290	0.9023
AL558037	0.6986
BF902657	0.7858
AL541295	0.8335
BF950386	0.8101
AW576403	0.5501
BE813764	0.3202
AA852319	0.9506
BE018683	0.7926
BF379660	0.1110
H67325	0.1772
AI246889	0.5530
AA658868	0.2332
BF436777	0.5073
BG563252	0.8369
BE742471	0.6627
AA339015	0.8027
Z40086	0.0254
BF768196	0.7189
BF692796	0.5183
AW992309	0.4349
AA743011	0.6193
AW896124	0.7920
AA323550	0.1022
BF001839	0.1351
AI825384	0.3687
BF899115	0.4381
AW386840	0.0845
BE967095	0.1083
BE174768	0.2878
AA865866	0.1141
AI801987	0.7071
AW956642	0.1931
BE876511	0.8444
BE178064	0.6424
BE328731	0.6792
AW999881	0.4685
R57367	0.3050
AU139304	0.1197
BF175351	0.6833
AA159795	0.0574
AW059622	0.2371
AA810137	0.0135
AA653670	0.3562
BE041441	0.7403
BE271691	0.6330
AI347918	0.9442
BE733683	0.8219
BF060948	0.2768
BG471272	0.9184
AA694119	0.7616
BF845299	0.0530
BE467682	0.9800
BE814384	0.7408
AA729354	0.7643
AI968124	0.5991
AI581885	0.7024
BF804118	0.7148
BG001438	0.4666
AW605122	0.1887
BF915915	0.5439
AW082296	0.1534
AW901112	0.1352
BF215625	0.2158
AI125239	0.6733
AA306242	0.7190
AA213407	0.5753
AW807742	0.7194
BG577212	0.8711
Z45780	0.1973
AI203722	0.3733
BE162173	0.2747
AA055762	0.2534
R01991	0.4429
AA872789	0.4545
AW970430	0.9437
BF238765	0.3551
AL551932	0.9444
AA693493	0.6566
AW849045	0.4498
AW139040	0.2793
BE221605	0.0469
AI431405	0.3967
BF105107	0.8428
AL543730	0.0239
AI767351	0.5911
AL541533	0.8839
AI379387	0.6462
AL577479	0.5792
AW246031	0.9574
AA883919	0.0493
AU077126	0.3742
AI075427	0.7234
AV704083	0.4942
BE538715	0.3010
BF352189	0.0222
BE710852	0.2079
BE969768	0.9731
BF837066	0.2417
BE048098	0.2893
AW768683	0.7214
BE380048	0.7391
BF698592	0.5313
AL537032	0.4391
AA757446	0.6016
BG336594	0.6906
AA476592	0.6484
AA083516	0.1700
AW474205	0.9051
R89153	0.0152
AI951259	0.3609
BE090058	0.7588
W68223	0.7112
BE257503	0.2798
BF312729	0.2652
AI824625	0.4869
AU125215	0.6387
BF124955	0.7328
AA302749	0.7477
AI683658	0.5404
AI985463	0.4588
Z39171	0.6728
T12317	0.9874
AW935922	0.9189
BF881499	0.6321
AI085413	0.4040
W20118	0.1235
AW117539	0.4054
BF088292	0.6565
BG471861	0.0663
AW975867	0.3620
AA732703	0.6111
AA693344	0.9695
D11688	0.0142
AA446393	0.1626
BE932936	0.7703
BF946998	0.3637
AI280004	0.5077
BG531531	0.4471
AI765002	0.7127
AI435526	0.2222
BF355639	0.9727
Z42705	0.1970
BG118334	0.0670
AI394559	0.7440
AW614908	0.5189
AV750456	0.3624
BF589470	0.2553
AA412053	0.1893
AI766639	0.1806
BF575779	0.3353
T65521	0.1347
AA282843	0.6673
AI335086	0.9326
AV732711	0.6611
AI472875	0.5076
AI823747	0.5549
AA150094	0.2515
BF668068	0.5929
BF802422	0.2100
AW449905	0.2715
T48831	0.7273
BE336644	0.8219
AA554749	0.9276
AV745543	0.1724
AI627644	0.0791
BE931412	0.8784
BF000319	0.1549
AI890523	0.1390
BG285772	0.2303
N92683	0.7346
AL527150	0.9822
AA344790	0.7071
AA446466	0.5891
BF772092	0.8240
AW594336	0.3526
AI720699	0.2909
R32266	0.3969
AW189949	0.1117
W90013	0.3681
AW794397	0.5050
BE799072	0.4209
BE645914	0.5897
AW951752	0.6855
BG396529	0.6586
AA491830	0.2366
AI032266	0.2071
AI363102	0.3258
AI873498	0.0076
BE547037	0.0607
BF592986	0.2807
BF981282	0.2212
AI745264	0.2640
AI824370	0.6565
BE545313	0.4905
AA088708	0.4831
AL133961	0.9438
BG151338	0.2697
AA723683	0.5171
BF999690	0.7766
BE276747	0.3317
AW844497	0.3288
AW868423	0.6487
BF872595	0.2573
BF056202	0.3401
AA770471	0.9289
BF795977	0.6241
AI371919	0.3338
AA781788	0.7966
AI370584	0.9818
AA070527	0.5191
BE280767	0.6502
BF130238	0.6938
AI628326	0.5181
AA115789	0.5093
BE872021	0.9923
AW862888	0.4335
AW235952	0.1905
BE836529	0.6520
BE827362	0.6885
AA639687	0.4866
AA197270	0.3673
BF131406	0.3770
AL120598	0.7830
R47318	0.7838
AI525582	0.5700
AI927532	0.4986
BE392570	0.7831
AI970459	0.4198
AA424482	0.7498
BF104124	0.4893
AI499533	0.1973
AL529544	0.5186
BF742984	0.0011
AA180918	0.4498
AA307832	0.2458
AU138573	0.8795
BE184135	0.6602
BE730506	0.6625
AW367871	0.3319
AA012934	0.6719
BE832031	0.3638
BF958167	0.8035
AU123323	0.9259
AW152219	0.2191
AA515533	0.3176
AV748603	0.9308
AA327586	0.7010
AW401366	0.7129
AL042784	0.4615
BE536555	0.1687
BE167327	0.4592
BE838984	0.7898
AW965205	0.5714
AI073654	0.4876
AI739573	0.7238
BE880427	0.1562
AW291175	0.6094
BE175026	0.5786
BE082365	0.0650
AA169408	0.5889
AA852058	0.7496
H77287	0.9813
AW983843	0.6577
AI370950	0.3445
AV720007	0.7494
R34329	0.7137
BF852063	0.3201
AA523703	0.4595
BF821111	0.3372
AI520770	0.3077
BE002205	0.5265
AW404749	0.7098
AV699914	0.9692
R72140	0.7168
AI784179	0.6763
AW843812	0.2309
AU146519	0.1258
BG056695	0.9365
BF344146	0.3049
BF913752	0.7148
AI277273	0.6596
BF822129	0.1536
BE732777	0.7892
BG167213	0.4851
BE069701	0.0577
R11504	0.8335
AA969526	0.9942
BE742660	0.4704
BF475891	0.3694
AI081253	0.4358
AL536261	0.0710
AA300348	0.0476
H60849	0.0247
AA327240	0.9810
AV746428	0.8309
AA356248	0.2116
T47555	0.5651
AA369287	0.1906
Z21073	0.2577
AU134369	0.7168
BE280838	0.8111
BE549570	0.9049
BF693452	0.0912
AA282828	0.7412
BG254290	0.4325
BG024479	0.9391
BG117119	0.3979
AA225661	0.1720
AU119450	0.6664
BG533038	0.8160
AA528281	0.0810
BF941034	0.9567
AI089379	0.5408
AA666344	0.8336
BG111514	0.5459
BF872970	0.2284
BF879756	0.5045
H94553	0.8372
BF241341	0.6726
BF670773	0.8513
AU121526	0.2388
BG164310	0.6399
AI334193	0.4832
AA654797	0.4964
BE409971	0.0321
AI656418	0.6717
BF825896	0.2618
AW170422	0.2942
BF002933	0.6855
BE141373	0.5448
AW904331	0.6676
BF795168	0.7037
BF353458	0.5158
AI204060	0.4678
AA886875	0.7914
AI830490	0.5538
AI765496	0.3949
AW513683	0.3128
AI432238	0.3796
BF528714	0.9594
BF772510	0.6582
BE673271	0.4128
BE008291	0.0894
AW581749	0.2088
BE551843	0.7757
AA663680	0.2520
AW576851	0.9331
W95354	0.9094
BF986471	0.7475
BE219197	0.0096
AV764628	0.8053
BE780685	0.9978
BE266562	0.5732
AW451374	0.8727
BF718756	0.6439
BE045510	0.6012
AI566262	0.0742
F09886	0.5675
AI954844	0.6149
BE738126	0.3722
C21216	0.0162
H65621	0.9642
AA432285	0.7724
AA375973	0.9695
BF694887	0.5302
BG261402	0.7426
AW957424	0.1223
AA533732	0.3837
BG424412	0.5518
AA502442	0.6079
AA572792	0.3841
AW881166	0.0968
AA456544	0.3317
AA371480	0.3680
BE818897	0.8450
AA834426	0.1208
AI655566	0.0693
AI457430	0.9839
AA983396	0.7115
AW406822	0.6059
BF958479	0.8949
BF055206	0.6567
BF851991	0.5991
AA886886	0.0251
BG325969	0.3285
AW802169	0.5670
AW858474	0.8494
AA935862	0.5462
AW963835	0.1826
BF733933	0.2745
AI206295	0.8246
AA910470	0.2996
BF092732	0.0241
BE937145	0.2218
AL515829	0.0368
AW839626	0.5187
BF447535	0.4828
AW139580	0.8582
AI192756	0.8423
BF825733	0.6370
BG331556	0.6583
AW963122	0.3802
T74038	0.9263
BE148316	0.4910
AI349635	0.6762
AW152451	0.9077
D80975	0.5100
AI804896	0.8271
AW838135	0.6052
AA948169	0.5449
T58429	0.9090
H85127	0.9102
