GCA_000826245.1_Acanthamoeba_astronyxis	A.astronyxis (2015)
GCA_000256705.2_TGCAST_v2	apicomplexans T.gondii (CAST 2018)
GCA_000338675.2_TGCOUG_v2	apicomplexans T.gondii (COUG 2017)
GCA_000278365.1_ASM27836v1	apicomplexans T.gondii (CtCo5 2012)
GCA_000224905.2_TGFOU1v02	apicomplexans T.gondii (FOU 2014)
GCA_000325525.2_TGGABGALDOM2_v2.1	apicomplexans T.gondii (GAB2-2007-GAL-DOM2 2014)
GCA_000149715.2_TGGT1	apicomplexans T.gondii (GT1 2013)
GCA_000224865.2_TGMAS1_v2	apicomplexans T.gondii (MAS 2014)
GCA_014898695.1_ASM1489869v1	apicomplexans T.gondii (ME49xCTG S27 2020)
GCA_000224885.2_TGP89A_v02	apicomplexans T.gondii (p89 2014)
GCA_001593265.1_ToxRH1.0	apicomplexans T.gondii (RH 2016)
GCA_013099955.1_tgrh88	apicomplexans T.gondii (RH-88 2020)
GCA_000224805.2_TGRUB_v2	apicomplexans T.gondii (RUB 2014)
GCA_000259835.1_TGCATBR5	apicomplexans T.gondii (TgCATBr5 2011)
GCA_000224825.2_TGCATBR9_v2	apicomplexans T.gondii (TgCATBr9 2018)
GCA_000256725.2_TGCATPRC2_v2	apicomplexans T.gondii (TgCatPRC2 2016)
GCA_000224845.2_TGVAND_v2	apicomplexans T.gondii (VAND 2014)
GCA_000150015.2_TGVEG	apicomplexans T.gondii (VEG 2013)
GCA_003072545.4_EMAI_ToriFCr_1	apicomplexans T.orientalis (Fish Creek 2022)
GCA_003072535.4_EMAI_ToriGNu_1	apicomplexans T.orientalis (Goon Nure 2022)
GCF_000740895.1_ASM74089v1	apicomplexans T.orientalis strain (Shintoku 2012)
GCF_000165365.1_ASM16536v1	apicomplexans T.parva strain (Muguga 2005)
GCF_000856545.1_ViralMultiSegProj15028	Argentinian mammarenavirus (XJ13 2003)
GCA_001890905.1_Aspac1	ascomycetes A.aculeatus (ATCC 16872 2016)
GCA_039111485.1_ASM3911148v1	ascomycetes A.aculeatus (KLFASPA2A.1 2024)
GCA_039111445.1_ASM3911144v1	ascomycetes A.aculeatus (KLFASPA3B.1 2024)
GCF_001890905.1_Aspac1	ascomycetes A.aculeatus ATCC 16872
GCF_001642055.1_Altal1	ascomycetes A.alternata
GCA_001636715.1_AAP_1.0	ascomycetes A.apis (ARSEF 7405 2016)
GCA_001599415.1_JCM_22320_assembly_v001	ascomycetes A.awamori var. piceus (JCM 22320 2016)
GCF_001889945.1_Aspbr1	ascomycetes A.brasiliensis (CBS 101740 2016 refseq)
GCA_001511075.1_Acal_Allpaths_LG	ascomycetes A.calidoustus (2016)
GCA_022813285.1_ASM2281328v1	ascomycetes A.calidoustus (FKI-L3-BK-DRAB1 2022)
GCA_022814525.1_ASM2281452v1	ascomycetes A.calidoustus (FKII-L2-CM-DR1 2022)
GCA_022814485.1_ASM2281448v1	ascomycetes A.calidoustus (FKII-L2-CM-PAB1 2022)
GCA_022814385.1_ASM2281438v1	ascomycetes A.calidoustus (FKII-L3-BK-DRAB4 2022)
GCA_022814395.1_ASM2281439v1	ascomycetes A.calidoustus (FKII-L3-BK-PAB1 2022)
GCF_002847485.1_Aspcam1	ascomycetes A.campestris IBT 28561
GCA_002847045.1_Aspcand1	ascomycetes A.candidus (CBS 102.13 2017)
GCA_001990825.1_Aspca3	ascomycetes A.carbonaris (ITEM 5010 2017)
GCF_000002715.2_ASM271v1	ascomycetes A.clavatus NRRL 1
GCA_001717485.1_ASM171748v1	ascomycetes A.cristatus (GZAAS20.1005 2016)
GCA_003184645.1_Aspell1	ascomycetes A.ellipticus (CBS 707.79 2018)
GCF_003184535.1_Aspeuc1	ascomycetes A.eucalypticola CBS 122712
GCA_014281895.1_ASM1428189v1	ascomycetes A.felis (CNM-CM5623 2020)
GCA_014281915.1_ASM1428191v1	ascomycetes A.felis (CNM-CM7691 2020)
GCA_016413765.1_ASM1641376v1	ascomycetes A.felis (FM324 2020)
GCF_003184825.1_Aspfij1	ascomycetes A.fijiensis CBS 313.89
GCF_000149645.3_ASM14964v4	ascomycetes A.fischeri (v4 NRRL 181 2006)
GCF_004000055.1_DF_1.0	ascomycetes A.flagrans (CBS H-5679 2019 refseq)
GCA_003953865.1_ASM395386v1	ascomycetes A.flavus (2017 Coahoma J1 2018)
GCA_003953795.1_ASM395379v1	ascomycetes A.flavus (2017 Coahoma J3 2018)
GCA_003953785.1_ASM395378v1	ascomycetes A.flavus (2017 Coahoma J6 2018)
GCA_003953735.1_ASM395373v1	ascomycetes A.flavus (2017 Coahoma J7 2018)
GCA_003953695.1_ASM395369v1	ascomycetes A.flavus (2017 Coahoma J8 2018)
GCA_003953705.1_ASM395370v1	ascomycetes A.flavus (2017 Washington T1 2018)
GCA_003953715.1_ASM395371v1	ascomycetes A.flavus (2017 Washington T2 2018)
GCA_003953685.1_ASM395368v1	ascomycetes A.flavus (2017 Washington T3 2018)
GCA_003953615.1_ASM395361v1	ascomycetes A.flavus (2017 Washington T4 2018)
GCA_003953825.1_ASM395382v1	ascomycetes A.flavus (2017 Washington T5 2018)
GCA_003953625.1_ASM395362v1	ascomycetes A.flavus (2017 Washington T6 2018)
GCA_003953605.1_ASM395360v1	ascomycetes A.flavus (2017 Washington T7 2018)
GCA_003953595.1_ASM395359v1	ascomycetes A.flavus (2017 Washington T8 2018)
GCA_003953585.1_ASM395358v1	ascomycetes A.flavus (2017 Yazoo S1 2018)
GCA_003953805.1_ASM395380v1	ascomycetes A.flavus (2017 Yazoo S2 2018)
GCA_003953505.1_ASM395350v1	ascomycetes A.flavus (2017 Yazoo S3 2018)
GCA_003953495.1_ASM395349v1	ascomycetes A.flavus (2017 Yazoo S4 2018)
GCA_003953515.1_ASM395351v1	ascomycetes A.flavus (2017 Yazoo S6 2018)
GCA_003953525.1_ASM395352v1	ascomycetes A.flavus (2017 Yazoo S7 2018)
GCA_003953485.1_ASM395348v1	ascomycetes A.flavus (2017 Yazoo S8 2018)
GCA_012896995.1_ASM1289699v1	ascomycetes A.flavus (A1 2020)
GCA_012895975.1_ASM1289597v1	ascomycetes A.flavus (A9 2020)
GCA_019880445.1_ASM1988044v1	ascomycetes A.flavus (AF INIFAP 2021 2021)
GCA_003711345.1_ASM371134v1	ascomycetes A.flavus (AF12 2018)
GCA_014117485.1_ASM1411748v1	ascomycetes A.flavus (AF13 2020)
GCA_012897275.1_ASM1289727v1	ascomycetes A.flavus (AF36 2020)
GCA_003711385.1_ASM371138v1	ascomycetes A.flavus (AF70 2018)
GCA_012896875.1_ASM1289687v1	ascomycetes A.flavus (Afla-Guard 2020)
GCA_018140885.1_ASM1814088v1	ascomycetes A.flavus (ATCC 22546 2021)
GCA_003711355.1_ASM371135v1	ascomycetes A.flavus (AZS04M2A 2018)
GCA_025769805.1_ASM2576980v1	ascomycetes A.flavus (B7001B 2022)
GCA_003709025.1_ASM370902v1	ascomycetes A.flavus (CA14 2018)
GCA_014784225.2_ASM1478422v2	ascomycetes A.flavus (CA14 2021)
GCA_009176375.1_Asppari1	ascomycetes A.flavus (CBS 121.62 2019)
GCA_031471915.1_ASM3147191v1	ascomycetes A.flavus (CNRMA 13.195 2023)
GCA_031471965.1_ASM3147196v1	ascomycetes A.flavus (CNRMA 13.197 2023)
GCA_031471935.1_ASM3147193v1	ascomycetes A.flavus (CNRMA 13.781 2023)
GCA_031304705.1_ASM3130470v1	ascomycetes A.flavus (CNRMA 15.21 2023)
GCA_031304755.1_ASM3130475v1	ascomycetes A.flavus (CNRMA 15.797 2023)
GCA_031471895.1_ASM3147189v1	ascomycetes A.flavus (CNRMA 18.189 2023)
GCA_031305155.1_ASM3130515v1	ascomycetes A.flavus (CNRMA 18.541 2023)
GCA_031304175.1_ASM3130417v1	ascomycetes A.flavus (CNRMA 18.657 2023)
GCA_031305065.1_ASM3130506v1	ascomycetes A.flavus (CNRMA 18.659 2023)
GCA_031304965.1_ASM3130496v1	ascomycetes A.flavus (CNRMA 18.89 2023)
GCA_031304255.1_ASM3130425v1	ascomycetes A.flavus (CNRMA 6.1116 2023)
GCA_031304975.1_ASM3130497v1	ascomycetes A.flavus (CNRMA 6.994 2023)
GCA_031471985.1_ASM3147198v1	ascomycetes A.flavus (CNRMA 7.844 2023)
GCA_031305075.1_ASM3130507v1	ascomycetes A.flavus (CNRMA 8.1117 2023)
GCA_031304185.1_ASM3130418v1	ascomycetes A.flavus (CNRMA 8.381 2023)
GCA_003711305.1_ASM371130v1	ascomycetes A.flavus (CS0504 VCG BS01 2018)
GCA_003711315.1_ASM371131v1	ascomycetes A.flavus (CS0540 VCG DV901 2018)
GCA_003711285.1_ASM371128v1	ascomycetes A.flavus (CS1137 VCG MC04 2018)
GCA_023653635.1_ASM2365363v1	ascomycetes A.flavus (DMIN 2022)
GCA_011420395.1_ASM1142039v1	ascomycetes A.flavus (E1201 2020)
GCA_011420405.1_ASM1142040v1	ascomycetes A.flavus (E1236 2020)
GCA_011420415.1_ASM1142041v1	ascomycetes A.flavus (E1275 2020)
GCA_011420435.1_ASM1142043v1	ascomycetes A.flavus (E1288 2020)
GCA_013145855.1_ASM1314585v1	ascomycetes A.flavus (E1293 2020)
GCA_013145865.1_ASM1314586v1	ascomycetes A.flavus (E1316 2020)
GCA_013145925.1_ASM1314592v1	ascomycetes A.flavus (E1345 2020)
GCA_013146015.1_ASM1314601v1	ascomycetes A.flavus (E1376 2020)
GCA_013146035.1_ASM1314603v1	ascomycetes A.flavus (E1402 2020)
GCA_013146025.1_ASM1314602v1	ascomycetes A.flavus (E1404 2020)
GCA_013146155.1_ASM1314615v1	ascomycetes A.flavus (E1406 2020)
GCA_013146165.1_ASM1314616v1	ascomycetes A.flavus (E1445 2020)
GCA_024678925.1_ASM2467892v1	ascomycetes A.flavus (FL-A-11-1 2022)
GCA_026743845.1_ASM2674384v1	ascomycetes A.flavus (FL-A-12-3-1 2022)
GCA_024678885.1_ASM2467888v1	ascomycetes A.flavus (FL-A-15-3-1 2022)
GCA_024678865.1_ASM2467886v1	ascomycetes A.flavus (FL-A-22-1 2022)
GCA_024678825.1_ASM2467882v1	ascomycetes A.flavus (FL-A-22-2 2022)
GCA_024678845.1_ASM2467884v1	ascomycetes A.flavus (FL-A-24-1 2022)
GCA_024678805.1_ASM2467880v1	ascomycetes A.flavus (FL-B-1-1-1 2022)
GCA_024678765.1_ASM2467876v1	ascomycetes A.flavus (FL-B-14-1-1 2022)
