# manually curated list of dbDb assemblies to relate to GenArk clades
# initial construction was via:
#
# grep -v "^#" UCSC* | cut -f3,6 | sort -u > genArk.sciName.clade.tsv
# 
# hgsql -hgenome-centdb -N -e \
#  'select scientificName,name from dbDb where active=1;' hgcentral \
#     | sort -u > dbDb.sciName.name.tsv
# 
# join -t $'\t' <(sort genArk.sciName.clade.tsv) \
#    <(sort dbDb.sciName.name.tsv) | grep -v "(L)" \
#    | awk -F$'\t' '{printf "%s\t%s\n", $3, $2}' | sort -u > dbDb.name.clade.tsv
# 
# sort -t$'\t' -k2,2 dbDb.sciName.name.tsv \
#    | join -t $'\t' -1 2 -v1 - dbDb.name.clade.tsv > dbDb.name.missingClade.tsv
#
# then those few missingClade that didn't match were manually added
# if new genomes are added to dbDb, they would need to be added here
#
# the years were added by getting the year out of dbDb, and joining
#   that list with the previous two column table of name,clade
#
# hgsql -N -e 'select name,description from dbDb;' hgcentraltest \
#   | awk '{printf "%s\t%s\n", $1,$3}' | sort > dbDb.name.year
#
# and the RefSeq/GenBank accession correspondence was obtained by working
#   with the asmEquivalence table in hgFixed to get as many as possible

hg38	primates	2013	GCA_000001405.28
hs1	primates	2022	GCF_009914755.1
latCha1	vertebrate	2011	GCF_000225785.1
loxAfr3	mammals	2009	GCF_000001905.1
macEug2	mammals	2009	GCA_000004035.1
macFas5	primates	2013	GCF_000364345.1
manPen1	mammals	2014	GCA_000738955.1
melGal1	birds	2009	GCF_000146605.1
melGal5	birds	2014	GCF_000146605.2
melUnd1	birds	2011	GCF_000238935.1
micMur1	primates	2007	GCA_000165445.1
micMur2	primates	2015	GCF_000165445.1
mm10	mammals	2011	GCF_000001635.26
mm39	mammals	2020	GCF_000001635.27
mm7	mammals	2005	na
mm8	mammals	2006	na
mm9	mammals	2007	na
monDom1	mammals	2004	na
monDom4	mammals	2006	na
monDom5	mammals	2006	na
mpxvRivers	viral	2022	GCF_014621545.1
musFur1	mammals	2011	GCF_000215625.1
nanPar1	vertebrate	2015	GCF_000935625.1
nasLar1	primates	2014	GCA_000772465.1
neoSch1	mammals	2017	GCF_002201575.1
nomLeu1	primates	2010	na
nomLeu2	primates	2011	na
nomLeu3	primates	2012	GCF_000146795.2
ochPri2	mammals	2008	GCA_000164825.1
ochPri3	mammals	2012	GCF_000292845.1
oreNil2	fish	2011	GCF_000188235.2
ornAna1	mammals	2007	GCA_000002275.2
ornAna2	mammals	2007	GCA_000002275.2
oryCun2	mammals	2009	GCF_000003625.3
oryLat2	fish	2005	na
otoGar3	primates	2011	GCF_000181295.1
oviAri1	mammals	2010	GCA_000005525.1
oviAri3	mammals	2012	GCF_000298735.1
oviAri4	mammals	2015	GCF_000298735.2
panPan1	primates	2012	GCF_000258655.1
panPan2	primates	2015	GCF_000258655.2
panPan3	primates	2020	GCF_013052645.1
panTro1	primates	2003	na
panTro2	primates	2006	na
panTro3	primates	2010	GCF_000001515.5
panTro4	primates	2011	GCF_000001515.6
panTro5	primates	2016	GCF_000001515.7
panTro6	primates	2018	GCF_002880755.1
papAnu2	primates	2012	GCF_000264685.1
papAnu4	primates	2017	GCF_000264685.3
papHam1	primates	2008	na
petMar1	vertebrate	2007	na
petMar2	vertebrate	2010	GCA_000148955.1
petMar3	vertebrate	2017	GCA_002833325.1
ponAbe2	primates	2007	na
ponAbe3	primates	2018	GCF_002880775.1
priPac1	invertebrate	2007	na
proCap1	mammals	2008	GCA_000152225.1
pteVam1	mammals	2008	GCA_000151845.1
rheMac10	primates	2019	GCF_003339765.1
rheMac2	primates	2006	na
rheMac3	primates	2010	GCA_000230795.1
rheMac8	primates	2015	GCF_000772875.2
rhiRox1	primates	2014	GCF_000769185.1
rn3	mammals	2003	na
rn4	mammals	2004	na
rn5	mammals	2012	na
rn6	mammals	2014	GCF_000001895.5
rn7	mammals	2020	GCF_015227675.2
sacCer1	fungi	2003	na
sacCer2	fungi	2008	na
sacCer3	fungi	2011	GCF_000146045.2
saiBol1	primates	2011	GCF_000235385.1
sarHar1	mammals	2011	GCF_000189315.1
sorAra1	mammals	2006	na
sorAra2	mammals	2008	GCF_000181275.1
speTri2	mammals	2011	GCF_000236235.1
strPur1	invertebrate	2005	na
strPur2	invertebrate	2006	na
susScr11	mammals	2017	GCF_000003025.6
susScr2	mammals	2009	na
susScr3	mammals	2011	GCF_000003025.5
taeGut1	birds	2008	na
taeGut2	birds	2013	GCF_000151805.1
tarSyr1	primates	2008	na
tarSyr2	primates	2013	GCF_000164805.1
tetNig1	fish	2004	na
tetNig2	fish	2007	na
thaSir1	vertebrate	2015	GCF_001077635.1
triMan1	mammals	2011	GCF_000243295.1
tupBel1	mammals	2006	na
turTru2	mammals	2011	GCA_000151865.2
vicPac1	mammals	2008	na
vicPac2	mammals	2013	GCF_000164845.2
wuhCor1	viral	2020	GCF_009858895.2
xenLae2	vertebrate	2016	GCF_001663975.1
xenTro1	vertebrate	2004	na
xenTro10	vertebrate	2019	GCF_000004195.4
xenTro2	vertebrate	2005	na
xenTro3	vertebrate	2009	na
xenTro7	vertebrate	2012	GCF_000004195.2
xenTro9	vertebrate	2016	GCF_000004195.3
